log_id,timestamp,user_action,exception_type,exception_message,origin_file,origin_line,origin_function,db_error_message,db_error_detail,http_status,session_id,resolution_hint,source_log_file,python_traceback,bug_id,execution_id,test_case_id,module
logs_001.txt:14,2018-09-05T09:17:56,The accountant deleted the invoice triggering a workflow notification.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/sales/models/record.py,215,action_confirm,"duplicate key value violates unique constraint ""sales_unique_id""",Key (name)=(Test_Record_001) already exists.,503,49791849-fd8f-4063-9fd7-1e29b6fc39fd,The system configured the transfer after verifying the related documents.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/sales/models/record.py"", line 215, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 2274, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-004519,EXEC-018563,TC-014930,Sales
logs_001.txt:15,2025-11-17T18:30:09,The system deleted the subscription renewal triggering a workflow notification.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/inventory/models/record.py,401,action_confirm,"duplicate key value violates unique constraint ""inventory_unique_id""",Key (name)=(Test_Record_001) already exists.,403,0b90a015-f639-4080-9c6a-302569ad62ea,The accountant deleted the incoming shipment and successfully completed the transaction.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/inventory/models/record.py"", line 401, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1068, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-002004,EXEC-014446,TC-017304,Inventory
logs_001.txt:16,2002-01-09T16:07:45,The sales representative verified the transfer due to missing configuration settings.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/sales/models/record.py,163,action_confirm,"duplicate key value violates unique constraint ""sales_unique_id""",Key (name)=(Test_Record_001) already exists.,404,74980391-2132-47d1-b45e-e4acd1779de2,The system calculated the subscription renewal and successfully completed the transaction.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/sales/models/record.py"", line 163, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1935, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-004777,EXEC-000389,TC-009749,Sales
logs_001.txt:17,2013-02-09T00:11:40,The manager escalated the POS receipt but encountered a permission error.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/purchase/models/record.py,300,action_confirm,"duplicate key value violates unique constraint ""purchase_unique_id""",Key (name)=(Test_Record_001) already exists.,502,07cbc4a9-7da1-4fa8-8c35-f6d1ffaa4b3d,The accountant deleted the subscription renewal while ensuring all mandatory fields were populated.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/purchase/models/record.py"", line 300, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1945, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-007320,EXEC-000996,TC-004976,Purchase
logs_001.txt:18,2005-03-30T03:23:44,The user deleted the POS receipt which resulted in an AccessError.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/quality/models/record.py,383,action_confirm,"duplicate key value violates unique constraint ""quality_unique_id""",Key (name)=(Test_Record_001) already exists.,403,f7f70680-857b-42b1-bc7d-aa73fe652294,The API endpoint verified the manufacturing order while ensuring all mandatory fields were populated.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/quality/models/record.py"", line 383, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1154, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-009466,EXEC-000335,TC-005125,Quality
logs_001.txt:19,1978-04-09T19:27:28,The manager attempted to confirm the incoming shipment and successfully completed the transaction.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/sales/models/record.py,414,action_confirm,"duplicate key value violates unique constraint ""sales_unique_id""",Key (name)=(Test_Record_001) already exists.,500,b547cc10-e839-43a7-80d5-6aaa4e48f2c4,The background job processed the invoice due to missing configuration settings.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/sales/models/record.py"", line 414, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1946, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-006558,EXEC-006772,TC-004493,Sales
logs_001.txt:20,1995-03-11T05:19:30,The system deleted the employee record due to missing configuration settings.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/manufacturing/models/record.py,338,action_confirm,"duplicate key value violates unique constraint ""manufacturing_unique_id""",Key (name)=(Test_Record_001) already exists.,503,100eff6a-b3d7-480f-b7cf-6d6b415675db,The manager deleted the POS receipt but the system raised a validation exception.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/manufacturing/models/record.py"", line 338, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1113, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-001336,EXEC-017839,TC-006255,Manufacturing
logs_001.txt:21,2000-01-01T12:29:25,The user calculated the employee record triggering a workflow notification.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/ecommerce/models/record.py,365,action_confirm,"duplicate key value violates unique constraint ""ecommerce_unique_id""",Key (name)=(Test_Record_001) already exists.,500,e0a8e117-e6db-458b-b437-c509e7f696e3,The background job deleted the incoming shipment after verifying the related documents.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/ecommerce/models/record.py"", line 365, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 2559, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-004824,EXEC-004418,TC-002900,eCommerce
logs_001.txt:22,2011-05-08T04:11:45,The accountant validated the subscription renewal but the system raised a validation exception.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/hr/models/record.py,17,action_confirm,"duplicate key value violates unique constraint ""hr_unique_id""",Key (name)=(Test_Record_001) already exists.,404,585d35d1-a8b9-4615-91b8-3f949e4ca0fc,The user configured the invoice while ensuring all mandatory fields were populated.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/hr/models/record.py"", line 17, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 2726, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-009757,EXEC-015875,TC-016723,HR
logs_001.txt:23,2022-03-30T01:11:14,The warehouse operator updated the POS receipt and successfully completed the transaction.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/manufacturing/models/record.py,403,action_confirm,"duplicate key value violates unique constraint ""manufacturing_unique_id""",Key (name)=(Test_Record_001) already exists.,404,ce2f4176-0bc9-476c-9960-5599d4aae3be,The manager updated the invoice but the system raised a validation exception.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/manufacturing/models/record.py"", line 403, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1002, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-006213,EXEC-006358,TC-012056,Manufacturing
logs_001.txt:24,1995-03-16T00:49:10,The user updated the invoice but encountered a permission error.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/pos/models/record.py,262,action_confirm,"duplicate key value violates unique constraint ""pos_unique_id""",Key (name)=(Test_Record_001) already exists.,403,293a335e-cd21-4554-ad06-43724ab01fd0,The API endpoint verified the subscription renewal triggering a workflow notification.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/pos/models/record.py"", line 262, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 2830, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-009451,EXEC-004322,TC-014290,POS
logs_001.txt:25,1972-12-12T18:38:04,The warehouse operator attempted to confirm the transfer and successfully completed the transaction.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/documents/models/record.py,451,action_confirm,"duplicate key value violates unique constraint ""documents_unique_id""",Key (name)=(Test_Record_001) already exists.,400,449c4110-b448-451b-972a-74b59a469f15,The warehouse operator configured the employee record but encountered a permission error.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/documents/models/record.py"", line 451, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1131, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-004248,EXEC-003692,TC-019222,Documents
logs_001.txt:26,1975-11-05T14:31:04,The system configured the POS receipt while ensuring all mandatory fields were populated.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/knowledge/models/record.py,474,action_confirm,"duplicate key value violates unique constraint ""knowledge_unique_id""",Key (name)=(Test_Record_001) already exists.,502,9a6712cc-d506-4da4-b7d3-1558185dc187,The background job deleted the POS receipt triggering a workflow notification.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/knowledge/models/record.py"", line 474, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 2563, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-008971,EXEC-018716,TC-017609,Knowledge
logs_001.txt:27,2002-06-19T00:07:17,The user configured the employee record while ensuring all mandatory fields were populated.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/payroll/models/record.py,119,action_confirm,"duplicate key value violates unique constraint ""payroll_unique_id""",Key (name)=(Test_Record_001) already exists.,503,a08685eb-0059-4cbe-b31a-90476019d082,The accountant attempted to confirm the employee record but encountered a permission error.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/payroll/models/record.py"", line 119, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 2136, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-001160,EXEC-017840,TC-005140,Payroll
logs_001.txt:28,2004-03-11T02:18:46,The system updated the employee record while ensuring all mandatory fields were populated.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/studio/models/record.py,209,action_confirm,"duplicate key value violates unique constraint ""studio_unique_id""",Key (name)=(Test_Record_001) already exists.,503,e22c4769-43aa-42b8-b0be-a7ade3acf2de,The warehouse operator verified the incoming shipment after verifying the related documents.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/studio/models/record.py"", line 209, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1798, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-007783,EXEC-012029,TC-004798,Studio
logs_001.txt:29,1971-08-15T07:46:05,The API endpoint verified the invoice triggering a workflow notification.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/maintenance/models/record.py,450,action_confirm,"duplicate key value violates unique constraint ""maintenance_unique_id""",Key (name)=(Test_Record_001) already exists.,400,8a3ddc5e-9095-426f-9060-d382f3f99b81,The API endpoint attempted to confirm the POS receipt after verifying the related documents.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/maintenance/models/record.py"", line 450, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 2543, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-008624,EXEC-014866,TC-010706,Maintenance
logs_001.txt:30,1991-07-29T08:18:41,The manager verified the subscription renewal due to missing configuration settings.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/hr/models/record.py,157,action_confirm,"duplicate key value violates unique constraint ""hr_unique_id""",Key (name)=(Test_Record_001) already exists.,400,bc89a998-baaf-4f80-818a-d769a17d3b53,The sales representative processed the invoice which resulted in an AccessError.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/hr/models/record.py"", line 157, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 2260, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-000092,EXEC-016329,TC-004817,HR
logs_001.txt:31,1982-05-15T03:21:25,The user rejected the subscription renewal which resulted in an AccessError.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/subscriptions/models/record.py,295,action_confirm,"duplicate key value violates unique constraint ""subscriptions_unique_id""",Key (name)=(Test_Record_001) already exists.,500,6d5b402e-278b-4744-89b7-bb5441362462,The accountant attempted to confirm the employee record but the system raised a validation exception.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/subscriptions/models/record.py"", line 295, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 2824, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-004933,EXEC-003311,TC-008975,Subscriptions
logs_001.txt:32,2023-07-31T13:05:31,The warehouse operator rejected the POS receipt while ensuring all mandatory fields were populated.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/inventory/models/record.py,295,action_confirm,"duplicate key value violates unique constraint ""inventory_unique_id""",Key (name)=(Test_Record_001) already exists.,404,50a03a38-3eaa-45d4-87fa-0ddbb28a208a,The API endpoint calculated the invoice which resulted in an AccessError.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/inventory/models/record.py"", line 295, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1170, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-003815,EXEC-018087,TC-004961,Inventory
logs_001.txt:33,2013-11-19T02:32:34,The background job verified the invoice while ensuring all mandatory fields were populated.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/helpdesk/models/record.py,493,action_confirm,"duplicate key value violates unique constraint ""helpdesk_unique_id""",Key (name)=(Test_Record_001) already exists.,503,c6d6c9dd-9c1e-4769-85b8-76853e650b60,The accountant processed the incoming shipment triggering a workflow notification.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/helpdesk/models/record.py"", line 493, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 2652, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-007487,EXEC-014131,TC-012290,Helpdesk
logs_001.txt:34,1974-06-24T01:03:52,The warehouse operator verified the invoice but the system raised a validation exception.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/website/models/record.py,452,action_confirm,"duplicate key value violates unique constraint ""website_unique_id""",Key (name)=(Test_Record_001) already exists.,503,7562faca-f998-4f6d-bd1e-355218d15dcb,The warehouse operator updated the manufacturing order but encountered a permission error.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/website/models/record.py"", line 452, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1404, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-008438,EXEC-007079,TC-018354,Website
logs_001.txt:35,1974-09-11T14:09:15,The system deleted the subscription renewal triggering a workflow notification.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/hr/models/record.py,209,action_confirm,"duplicate key value violates unique constraint ""hr_unique_id""",Key (name)=(Test_Record_001) already exists.,404,d6e7de1f-b4b1-4e10-bcdc-cea02d50b96c,The user escalated the POS receipt and successfully completed the transaction.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/hr/models/record.py"", line 209, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1993, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-005566,EXEC-009261,TC-006635,HR
logs_001.txt:36,1983-04-26T09:50:50,The system escalated the transfer triggering a workflow notification.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/crm/models/record.py,85,action_confirm,"duplicate key value violates unique constraint ""crm_unique_id""",Key (name)=(Test_Record_001) already exists.,502,a6c54b04-eb63-420f-a42e-6962bb335295,The API endpoint updated the manufacturing order but encountered a permission error.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/crm/models/record.py"", line 85, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 2896, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-009454,EXEC-009900,TC-014348,CRM
logs_001.txt:37,1983-01-13T08:56:39,The user escalated the transfer but encountered a permission error.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/crm/models/record.py,403,action_confirm,"duplicate key value violates unique constraint ""crm_unique_id""",Key (name)=(Test_Record_001) already exists.,500,1cba1790-cc1a-457a-a001-d01b2063930f,The user escalated the POS receipt which resulted in an AccessError.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/crm/models/record.py"", line 403, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1736, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-001208,EXEC-016801,TC-011681,CRM
